Startup_ID,Domain,Startup_Stage,Industry_Funder_Type,Investment_Amount,Valuation,Number_of_Investors,Year_Founded,Growth_Rate_Cent
ST100084,AI,Idea,VC Firm,2447270415.5,8095858828.067322,27,2021,129.03
ST100085,AI,Early Revenue,Government Grant,2407386442.25,8783700785.20548,10,2002,182.23
ST100086,AgriTech,MVP,Corporate R&D,4730860833.16,8195466150.18074,34,2000,170.46
ST100087,Sustainability,Idea,Angel Investor,2700679626.1,4800271506.759951,14,2020,107.0
ST100088,Blockchain,Idea,Angel Investor,1054977036.09,3208096453.804389,31,2005,157.79
ST100089,AI,MVP,Angel Investor,2701705689.18,10238979645.81396,8,2010,104.13
ST100090,AgriTech,MVP,Government Grant,1480174017.83,6153889306.393388,24,2016,159.77
ST100091,Smart Cities,Idea,VC Firm,1868556515.9,5626482827.87125,48,2006,74.81
ST100092,Healthcare,Prototype,Government Grant,4965764721.83,22063441300.70618,19,2022,185.18
ST100093,Energy,MVP,Angel Investor,4373093561.43,14431864169.34468,21,2017,31.3
ST100094,AgriTech,Prototype,VC Firm,4236712037.57,18506506243.386707,21,2012,27.37
ST100095,IoT,MVP,Angel Investor,835931781.31,2239262009.884896,23,2017,162.48
ST100096,AI,Idea,Angel Investor,1110163040.41,3432586808.6567926,43,2012,122.79
ST100097,Healthcare,Prototype,VC Firm,817466253.48,2610638765.116803,40,2010,160.46
ST100098,Blockchain,Early Revenue,Corporate R&D,540940572.76,2291586359.294553,42,2001,59.69
ST100099,Healthcare,MVP,Corporate R&D,3308060362.77,5174334068.134404,39,2005,5.42
ST100100,Energy,Prototype,VC Firm,222399646.12,866057139.4324499,9,2005,14.62
ST100101,Sustainability,Early Revenue,VC Firm,4504529995.14,18845746993.929115,21,2018,195.16
ST100102,Sustainability,Prototype,Angel Investor,4777022152.23,9085127518.302149,8,2007,40.44
ST100103,IoT,MVP,VC Firm,4255546911.86,11515638960.56781,9,2000,92.03
ST100104,Blockchain,Early Revenue,Corporate R&D,4055211093.34,16887114468.162745,21,2009,109.49
ST100105,Energy,Prototype,Angel Investor,1022453449.75,2849976436.576566,45,2023,22.65
ST100106,Sustainability,MVP,Angel Investor,1862792339.72,8231911404.888959,25,2013,151.19
ST100107,IoT,Prototype,Government Grant,2793350138.78,6641452650.349066,24,2012,169.31
ST100108,Healthcare,Idea,Angel Investor,190552569.77,579122421.6948707,21,2015,6.85
ST100109,AI,MVP,Corporate R&D,4176182629.51,10240648046.87746,37,2003,36.45
ST100110,Blockchain,Prototype,VC Firm,291159535.66,1212955100.3722916,26,2001,98.27
ST100111,AgriTech,Prototype,Government Grant,3957776781.25,13305043815.736095,6,2001,14.82
ST100112,Energy,Early Revenue,Corporate R&D,4061720586.36,7008812342.15335,34,2018,87.1
ST100113,AI,Idea,Government Grant,1973996602.66,5342730965.915696,25,2017,21.01
ST100114,Healthcare,Idea,Angel Investor,1207908188.67,5176553240.218474,24,2018,135.34
ST100115,Blockchain,Prototype,VC Firm,4148060234.72,19654238527.67062,12,2020,192.62
ST100116,Smart Cities,Early Revenue,VC Firm,297037415.8,631590080.9830602,27,2022,10.75
ST100117,Energy,MVP,Angel Investor,3187593538.06,14966432137.19435,2,2021,166.15
ST100118,AgriTech,Idea,Government Grant,4898710204.12,10016527782.74132,9,2004,107.44
ST100119,Energy,MVP,Government Grant,2434425122.57,7540340367.746701,8,2003,175.64
ST100120,AI,Idea,Government Grant,3231666823.75,8713378948.186407,15,2014,62.93
ST100121,AgriTech,Idea,Angel Investor,359706950.69,893681743.5278616,45,2007,139.11
ST100122,Sustainability,Idea,VC Firm,12109878.52,35333149.76319448,35,2001,61.1
ST100123,Smart Cities,Prototype,Corporate R&D,4058325476.85,10666646232.548092,3,2014,172.42
ST100124,Healthcare,MVP,Government Grant,1049458896.63,3791331978.2543135,24,2004,100.65
ST100125,Blockchain,Prototype,Angel Investor,4243311793.92,20389236539.748764,12,2014,20.41
ST100126,Sustainability,Early Revenue,VC Firm,4724792423.72,22577045559.21223,36,2014,148.05
ST100127,Smart Cities,Prototype,Government Grant,996364970.4,4709629475.220037,35,2010,181.98
ST100128,IoT,Early Revenue,Corporate R&D,3357130456.98,13831720869.291971,14,2011,131.76
ST100129,Healthcare,MVP,VC Firm,1485976623.94,5820844542.537277,40,2017,112.16
ST100130,Smart Cities,Early Revenue,VC Firm,1086640783.67,3375032748.53194,50,2023,179.37
ST100131,Sustainability,Idea,Corporate R&D,670778423.23,2036188590.9963207,31,2021,75.42
ST100132,AI,Early Revenue,Corporate R&D,2162442988.16,9684369294.297209,13,2011,121.76
ST100133,Blockchain,Prototype,VC Firm,3353919321.47,14101768667.1437,30,2008,77.07
ST100134,Blockchain,Prototype,Angel Investor,2832206309.3,8112943643.786815,32,2010,111.76
ST100135,Energy,Prototype,Angel Investor,3021364194.14,8955654521.83277,23,2017,6.27
ST100136,AI,MVP,Angel Investor,1946598865.69,3284018974.773792,47,2017,101.04
ST100137,Blockchain,Idea,Corporate R&D,1489972758.45,6800634564.458862,27,2022,35.29
ST100138,Smart Cities,Early Revenue,Angel Investor,3735587366.9,12047108054.164742,26,2016,98.03
ST100139,Energy,MVP,VC Firm,518119024.64,1848811352.670756,4,2023,60.11
ST100140,Sustainability,Early Revenue,Corporate R&D,2947681328.36,10472893197.384682,4,2022,115.34
ST100141,Sustainability,Prototype,Angel Investor,1977534387.2,7797893013.34299,19,2005,181.97
ST100142,Blockchain,Prototype,VC Firm,4770544813.57,12197472011.325336,20,2000,34.12
ST100143,AI,Idea,Government Grant,3369684711.8,12010652855.448309,47,2022,60.81
ST100144,Blockchain,Prototype,Corporate R&D,4766934837.14,22688495648.32832,10,2005,37.06
ST100145,AI,Early Revenue,Angel Investor,3908318141.0,15444336263.034132,31,2018,142.43
ST100146,Sustainability,Early Revenue,Angel Investor,4769084379.19,14035036447.835238,41,2021,192.97
ST100147,Blockchain,MVP,Angel Investor,4955751623.38,16105806924.645227,31,2014,68.54
ST100148,AgriTech,Idea,Angel Investor,910772164.92,1496492548.4850855,8,2013,36.1
ST100149,Healthcare,Early Revenue,Government Grant,1170195349.16,2107219309.261388,9,2022,92.8
ST100150,Smart Cities,Prototype,Angel Investor,1967034352.33,5472960035.673135,17,2007,65.59
ST100151,Smart Cities,MVP,Angel Investor,621222707.35,2548933014.4338064,32,2007,157.7
ST100152,Sustainability,MVP,Angel Investor,2136105819.3,6159536137.742708,12,2020,69.58
ST100153,Smart Cities,Prototype,Angel Investor,2368764171.87,11722669062.171286,32,2002,118.16
ST100154,Energy,Early Revenue,Corporate R&D,821122733.28,3928588827.501104,26,2019,198.98
ST100155,Blockchain,MVP,Government Grant,4780102280.95,19249131120.151016,50,2019,33.75
ST100156,Energy,Prototype,VC Firm,2804170174.14,6711381134.882058,1,2008,49.31
ST100157,AI,MVP,Corporate R&D,1210756532.74,5972236369.372301,25,2011,143.16
ST100158,Smart Cities,MVP,Corporate R&D,3380537691.88,13459651069.24716,36,2011,34.61
ST100159,AgriTech,MVP,Government Grant,4661985381.5,22098096261.67553,43,2012,51.38
ST100160,Energy,Idea,Corporate R&D,408425258.08,1371906998.9824708,6,2020,104.06
ST100161,Healthcare,Idea,Corporate R&D,1953427282.17,8347575180.926382,44,2019,53.66
ST100162,Sustainability,Idea,VC Firm,2108321986.66,7771127335.712073,3,2020,198.66
ST100163,Healthcare,Prototype,Government Grant,2579938016.52,12689109686.17389,28,2018,124.32
ST100164,AI,Idea,VC Firm,1792797298.66,8885946522.637552,30,2018,106.38
ST100165,Blockchain,MVP,VC Firm,2225176804.86,7460309814.815988,11,2017,161.14
ST100166,Energy,MVP,Government Grant,3942136132.46,13331722858.072084,18,2011,194.8
ST100167,Healthcare,Prototype,Angel Investor,2050994893.77,3323018202.0463367,50,2015,58.52
ST100168,Energy,Prototype,Government Grant,1497188953.5,3463957403.9899683,4,2013,84.16
ST100169,Healthcare,Early Revenue,Corporate R&D,2795286271.07,9372294266.059938,11,2005,26.14
ST100170,AI,MVP,Corporate R&D,4069844380.58,10407319506.51487,24,2015,29.38
ST100171,Smart Cities,Early Revenue,Government Grant,74056826.76,231893726.74083364,41,2009,20.57
ST100172,AgriTech,Idea,Corporate R&D,4160635769.99,7671882583.852906,17,2021,117.18
ST100173,AgriTech,Prototype,Government Grant,1246281478.08,3529517302.801452,44,2022,146.5
ST100174,Sustainability,MVP,Government Grant,2163501159.34,5677567960.275496,23,2018,144.39
ST100175,AI,Prototype,Government Grant,3023593160.48,9708896500.831356,2,2011,174.66
ST100176,IoT,Prototype,Government Grant,4022507020.31,17218730897.772625,10,2018,74.68
ST100177,Healthcare,MVP,Angel Investor,2639730016.81,8690078938.976686,50,2023,190.91
ST100178,Blockchain,Prototype,Government Grant,2980685741.88,6492509510.232554,49,2015,190.16
ST100179,Healthcare,Prototype,Angel Investor,4585075338.58,19523891245.314205,36,2002,129.84
ST100180,IoT,MVP,Corporate R&D,3472230658.56,14970962379.875015,20,2022,135.39
ST100181,AI,Prototype,Angel Investor,2676973040.4,10097355729.530262,30,2019,79.06
ST100182,Blockchain,Early Revenue,Government Grant,859760107.91,3760108625.521585,19,2006,69.53
ST100183,Blockchain,MVP,Angel Investor,4718625604.18,15939288190.453588,43,2021,36.79
ST100184,Energy,Early Revenue,Government Grant,2159651827.77,9752567479.614511,4,2013,119.32
ST100185,Smart Cities,Prototype,Corporate R&D,3419195284.17,9807518461.775331,31,2000,146.31
ST100186,Healthcare,Early Revenue,Corporate R&D,4692850983.3,9430583718.754795,38,2019,163.14
ST100187,Healthcare,Prototype,Government Grant,933765489.98,3396760378.712497,35,2012,38.02
ST100188,AI,MVP,VC Firm,731636879.73,1108299044.849033,15,2013,39.55
ST100189,IoT,Idea,Corporate R&D,443939762.53,697379814.5791141,33,2023,102.51
ST100190,Healthcare,Prototype,Corporate R&D,3537897853.25,10415760749.11206,24,2002,87.76
ST100191,Energy,Prototype,Angel Investor,2454112015.39,4119459442.380868,31,2017,92.85
ST100192,Energy,Early Revenue,Government Grant,3028499025.45,8249717640.8136015,23,2001,166.84
ST100193,AgriTech,MVP,VC Firm,1512009898.68,5283177735.6817,8,2003,14.29
ST100194,Healthcare,Idea,Corporate R&D,4322413750.27,20690412801.231647,12,2019,121.4
ST100195,Blockchain,MVP,Government Grant,168565481.2,727195576.3811328,5,2013,171.9
ST100196,Energy,Early Revenue,Government Grant,4179505137.7,8856665634.205921,29,2000,75.7
ST100197,Healthcare,Early Revenue,Angel Investor,2228321054.22,8017264022.347462,1,2002,74.59
ST100198,Blockchain,MVP,Corporate R&D,633792175.1,2966463386.11733,34,2015,91.34
ST100199,IoT,Early Revenue,Government Grant,1475455253.97,3684352503.897161,4,2013,144.69
ST100200,IoT,Early Revenue,Angel Investor,542731279.17,1969040721.4525695,1,2019,24.45
ST100201,AgriTech,MVP,Government Grant,4330028544.99,7931295284.566649,1,2013,40.6
ST100202,AgriTech,Idea,Angel Investor,685270370.05,2402454292.426417,50,2006,47.31
ST100203,AgriTech,Prototype,Government Grant,1258425677.69,5298085929.7477045,8,2013,37.21
ST100204,Healthcare,Early Revenue,Corporate R&D,1550418955.9,6253327057.39936,2,2004,98.86
ST100205,IoT,Early Revenue,Government Grant,4746683505.45,7761659263.089046,24,2016,130.02
ST100206,AI,Early Revenue,Corporate R&D,3624908618.04,12768911221.39096,16,2015,53.41
ST100207,AgriTech,Prototype,Angel Investor,3348055915.81,11313994823.993387,39,2004,16.08
ST100208,AI,Early Revenue,VC Firm,2059767260.11,9029865493.37284,11,2021,110.7
ST100209,Energy,MVP,Angel Investor,998855411.79,4208170808.152652,8,2011,151.06
ST100210,Smart Cities,MVP,VC Firm,4645711353.76,14179348714.21508,24,2021,177.87
ST100211,Healthcare,Idea,Government Grant,3728949345.33,15948353330.895306,21,2023,111.77
ST100212,Sustainability,Idea,Government Grant,2787690069.46,10481365711.53888,45,2009,10.48
ST100213,Sustainability,Early Revenue,VC Firm,2679394095.8,11494147053.679377,10,2010,165.9
ST100214,Healthcare,MVP,Government Grant,439284861.62,1562829428.652782,27,2019,106.86
ST100215,Energy,Idea,Corporate R&D,2577216182.09,12253644328.4305,28,2016,140.7
ST100216,Energy,MVP,Angel Investor,4445077510.45,22111913741.370216,43,2018,141.44
ST100217,Smart Cities,MVP,VC Firm,4695901675.82,20788206317.31431,42,2017,90.56
ST100218,Smart Cities,Idea,Angel Investor,3506488816.37,16858063236.60639,29,2021,188.35
ST100219,IoT,Prototype,Corporate R&D,3243318328.48,8884770582.001207,34,2012,65.43
ST100220,Healthcare,Prototype,Angel Investor,2390702822.95,9276016886.419264,42,2010,104.42
ST100221,Smart Cities,MVP,Corporate R&D,3377630330.67,9382352167.435171,4,2018,153.71
ST100222,Energy,MVP,Angel Investor,3458218709.89,7842816033.90036,9,2014,138.81
ST100223,AI,Prototype,Angel Investor,3731753092.25,16420535787.80928,50,2018,160.96
ST100224,Smart Cities,Early Revenue,Government Grant,3632948850.48,13901643179.468462,6,2010,26.01
ST100225,Sustainability,Idea,Government Grant,1266365818.93,6118534838.579055,35,2015,42.96
ST100226,Energy,MVP,Angel Investor,3823899177.04,18201047898.48335,50,2005,103.9
ST100227,Smart Cities,Early Revenue,Government Grant,363240396.83,1219367670.2405694,25,2011,102.15
ST100228,Healthcare,Early Revenue,VC Firm,386027409.33,1930125716.325296,26,2016,105.83
ST100229,AgriTech,Early Revenue,Government Grant,1695120557.5,5083482836.032983,1,2004,100.82
ST100230,Healthcare,Early Revenue,Angel Investor,652805002.99,1395188276.0304992,22,2005,25.26
ST100231,IoT,Idea,Government Grant,854377165.54,2728289650.9788594,31,2007,29.43
ST100232,Smart Cities,Prototype,Angel Investor,1075247880.98,4790224564.962256,11,2015,130.56
ST100233,Healthcare,Idea,VC Firm,400841101.43,662110760.74165,15,2010,198.01
ST100234,AI,MVP,VC Firm,379381502.74,747379334.6457827,39,2019,122.77
ST100235,IoT,Prototype,VC Firm,4197876048.33,12825152328.547014,8,2000,76.55
ST100236,Sustainability,Idea,Government Grant,2527949676.1,4204560908.761613,19,2010,119.46
ST100237,IoT,Idea,Government Grant,1093248259.89,2279779309.410129,35,2003,140.86
ST100238,Sustainability,Idea,Corporate R&D,4023736139.69,14714029689.870373,36,2016,16.34
ST100239,Sustainability,Prototype,VC Firm,1253743174.76,4041124098.2338295,45,2018,63.38
ST100240,Healthcare,MVP,Angel Investor,1017523655.27,3688922130.492111,33,2022,158.64
ST100241,Energy,Early Revenue,Angel Investor,1342310942.23,3446562281.0688176,24,2021,57.58
ST100242,Smart Cities,Idea,Angel Investor,2717142585.21,11642202397.102682,15,2023,156.11
ST100243,AgriTech,Early Revenue,VC Firm,2043421497.37,5265703195.455126,28,2018,33.62
ST100244,AI,MVP,Government Grant,4898183493.34,22870233548.116764,4,2014,86.74
ST100245,Energy,Early Revenue,Government Grant,2240610148.38,5028323038.988811,24,2019,114.88
ST100246,IoT,Early Revenue,VC Firm,2271018470.67,4837009968.866991,48,2016,105.47
ST100247,Healthcare,MVP,VC Firm,4247685608.22,7909848190.505992,25,2000,153.65
ST100248,IoT,Prototype,Corporate R&D,2133781809.28,7258306476.786833,6,2001,69.38
ST100249,AgriTech,Early Revenue,VC Firm,1520118508.17,6084662753.812281,44,2005,153.25
ST100250,Smart Cities,Idea,Angel Investor,3000757848.42,5904647394.32909,21,2017,88.31
ST100251,Healthcare,Idea,Corporate R&D,4346289463.85,7001483722.25389,28,2021,149.6
ST100252,Sustainability,MVP,Corporate R&D,1723538065.72,3114308797.637836,11,2020,83.32
ST100253,Smart Cities,Idea,Corporate R&D,1182544803.45,4393227757.742001,2,2006,10.96
ST100254,AgriTech,MVP,Angel Investor,2063226365.66,7644608141.125145,14,2015,156.25
ST100255,Smart Cities,MVP,Corporate R&D,4597521560.08,14390499979.69156,39,2015,192.68
ST100256,Blockchain,Prototype,Angel Investor,1374644681.58,6097130881.918044,38,2000,14.04
ST100257,Smart Cities,MVP,Corporate R&D,1750123034.6,4508754227.434159,27,2001,167.53
ST100258,IoT,MVP,Corporate R&D,2332266749.1,11093368482.25781,38,2015,8.66
ST100259,Healthcare,Early Revenue,VC Firm,528679036.65,2636579981.110856,48,2003,191.88
ST100260,AgriTech,MVP,Corporate R&D,3543353980.54,14166396321.981377,8,2001,33.04
ST100261,AI,MVP,Angel Investor,3564928262.83,16855295900.778051,19,2011,129.82
ST100262,IoT,Early Revenue,VC Firm,1227999591.44,3925379084.685615,7,2003,56.28
ST100263,Energy,Early Revenue,VC Firm,2383040228.11,5541034771.25569,14,2010,158.96
ST100264,AI,MVP,VC Firm,4201382899.47,6890778313.589054,36,2003,183.68
ST100265,Healthcare,MVP,Angel Investor,2078074160.43,3660002170.209521,23,2022,70.97
ST100266,Smart Cities,Idea,Angel Investor,2350701523.66,10258454822.635344,29,2004,80.76
ST100267,Energy,Idea,Angel Investor,2730965394.87,11642934284.164568,47,2017,8.18
ST100268,AgriTech,MVP,Government Grant,866649670.39,1996872950.989771,29,2009,102.04
ST100269,Blockchain,Prototype,Corporate R&D,2807336928.31,13664307167.479609,48,2009,115.39
ST100270,Healthcare,Idea,Angel Investor,2718670322.77,4198200861.987257,16,2008,91.48
ST100271,Blockchain,Early Revenue,VC Firm,3036366847.86,10259128392.31004,14,2013,88.75
ST100272,Blockchain,Prototype,Government Grant,3733885388.61,14349424226.240824,24,2023,47.81
ST100273,Blockchain,MVP,Angel Investor,1374121897.47,6101680789.002599,17,2021,191.49
ST100274,Blockchain,MVP,Government Grant,1910177328.71,9043004199.518278,47,2000,114.64
ST100275,Healthcare,MVP,Angel Investor,1851348304.06,7285139646.553799,48,2001,28.82
ST100276,Smart Cities,Idea,Corporate R&D,557513324.84,900017797.1572553,49,2022,64.87
ST100277,Blockchain,Idea,VC Firm,3728214009.3,6084761595.111859,18,2020,150.9
ST100278,Energy,MVP,VC Firm,3426004016.16,10176253842.544352,36,2015,84.19
ST100279,Blockchain,Idea,Government Grant,4199399903.81,10507816026.808905,5,2015,82.77
ST100280,IoT,Prototype,Corporate R&D,4429201419.3,12868229775.431149,33,2006,5.06
ST100281,Smart Cities,Early Revenue,Corporate R&D,4017662422.97,8049152109.163941,14,2011,102.75
ST100282,IoT,Idea,VC Firm,1983050394.4,6548855343.682647,42,2007,138.6
ST100283,Blockchain,MVP,Angel Investor,3446049313.9,14038594476.505713,46,2003,154.18
ST100284,Energy,Idea,Government Grant,3286018254.96,13024216131.984797,1,2008,153.81
ST100285,IoT,Idea,VC Firm,758989177.0,2810879811.0385,3,2012,165.73
ST100286,Healthcare,Prototype,Government Grant,272245749.16,586823837.5336922,20,2010,37.6
ST100287,Sustainability,Idea,Corporate R&D,3536485933.08,13706551232.891235,31,2003,55.53
ST100288,Healthcare,Idea,Angel Investor,1111359775.46,3461402771.3487544,41,2008,151.06
ST100289,Blockchain,Prototype,Government Grant,2815145008.41,7938799567.465303,42,2009,110.84
ST100290,Smart Cities,Idea,Corporate R&D,3256827302.84,8356443833.387739,27,2009,20.63
ST100291,AI,Idea,Government Grant,4811067145.95,15974120040.94032,29,2006,177.41
ST100292,Sustainability,MVP,Angel Investor,1317604310.2,3633511531.877496,1,2007,34.8
ST100293,AgriTech,Prototype,Government Grant,307683729.81,946106844.730768,3,2019,194.96
ST100294,Smart Cities,MVP,Government Grant,2668300646.16,4466157555.431131,48,2016,20.79
ST100295,Sustainability,MVP,Government Grant,3909244045.54,9917338640.89752,31,2003,142.91
ST100296,AI,Idea,Corporate R&D,3548649517.26,14213489868.558405,36,2013,65.5
ST100297,AI,MVP,VC Firm,3711959836.21,12422356505.837587,24,2022,164.21
ST100298,Smart Cities,Early Revenue,Government Grant,1196962004.3,2365314262.253188,17,2012,100.81
ST100299,Healthcare,MVP,Corporate R&D,1886066715.08,9022527749.91426,7,2009,51.42
ST100300,IoT,MVP,Government Grant,3892965584.92,18147745226.080463,40,2009,61.66
ST100301,AgriTech,MVP,Angel Investor,2870553188.63,12659357265.213284,20,2002,81.38
